"","location","decid","age","dwood","year","quadrant"
"1","1033-NE",70.0229170322418,79.9189596176147,7.37479162216187,2020,"NE"
"2","1167-SW",11.1591665744781,94.2241659164429,11.2972917556763,2018,"SW"
"3","1265-NW",3.28588238884421,18.7056861975614,1.18627448905917,2020,"NW"
"6","1265-NW",3.28588238884421,18.7056861975614,1.18627448905917,2017,"NW"
"9","1266-SE",22.9433333873749,80.7549996376038,11.0327084958553,2018,"SE"
"10","1292-NE",1.14395839162171,99.7643740177155,7.08666659891605,2020,"NE"
"13","1292-NE",1.14395839162171,99.7643740177155,7.08666659891605,2017,"NE"
"16","1292-NW",1.83444451126787,113.62203640408,8.36111103163825,2017,"NW"
"19","1292-NW",1.83444451126787,113.62203640408,8.36111103163825,2020,"NW"
"22","1292-SE",0.785416707396507,107.451459407806,8.62562495470047,2017,"SE"
"25","1292-SE",0.785416707396507,107.451459407806,8.62562495470047,2020,"SE"
"28","1293-SE",0.435208317823708,103.199998855591,6.98708328604698,2017,"SE"
"31","1293-SE",0.435208317823708,103.199998855591,6.98708328604698,2020,"SE"
"34","1325-SE",28.439791738987,89.6272916793823,9.93104156851768,2018,"SE"
"35","1425-SW",0.515490184811985,101.966079263126,9.41196091034833,2017,"SW"
"36","1448-NW",17.9796296490563,94.8511106703017,10.0477778646681,2017,"NW"
"37","15-SE",51.3237491846085,66.6810405254364,2.74604164529592,2015,"SE"
"38","154-SW",2.62675918473138,9.73370374573602,0.349999987830718,2017,"SW"
"39","211-SW",5.32422199249268,61.7426667531331,5.6311111236612,2017,"SW"
"40","213-SW",10.0558332949877,77.4033327102661,6.86895836889744,2018,"SW"
"41","234-SW",24.2870826721191,29.4635413885117,6.12291655875742,2016,"SW"
"43","234-SW",24.2870826721191,29.4635413885117,6.12291655875742,2015,"SW"
"45","235-NE",85.1072931289673,58.4408342838287,9.28208309412003,2015,"NE"
"47","235-NE",85.1072931289673,58.4408342838287,9.28208309412003,2016,"NE"
"49","235-SW",83.7372920513153,58.8595840930939,10.3522913455963,2015,"SW"
"51","235-SW",83.7372920513153,58.8595840930939,10.3522913455963,2016,"SW"
"53","236-NW",55.0242218017578,76.661110941569,12.1064444065094,2015,"NW"
"55","236-NW",55.0242218017578,76.661110941569,12.1064444065094,2016,"NW"
"57","252-SE",75.9020820856094,52.3718746900558,5.60458337049931,2020,"SE"
"58","264-NE",57.7873327891032,68.4313346862793,11.1535555362701,2016,"NE"
"60","264-NE",57.7873327891032,68.4313346862793,11.1535555362701,2015,"NE"
"62","264-NW",65.4186662038167,68.3631118774414,10.8135555267334,2015,"NW"
"64","264-NW",65.4186662038167,68.3631118774414,10.8135555267334,2016,"NW"
"66","264-SW",74.1935412883759,64.1770834922791,10.6747916340828,2016,"SW"
"68","264-SW",74.1935412883759,64.1770834922791,10.6747916340828,2015,"SW"
"70","265-SE",96.4126663208008,59.322444152832,13.6111110051473,2016,"SE"
"72","265-SE",96.4126663208008,59.322444152832,13.6111110051473,2015,"SE"
"74","265-SW",96.6583323478699,63.4183325767517,13.6897916197777,2016,"SW"
"76","265-SW",96.6583323478699,63.4183325767517,13.6897916197777,2015,"SW"
"78","268-NE",33.9299996066839,60.1589591503143,10.0420837327838,2018,"NE"
"79","282-NE",39.5562500357628,63.0977085828781,8.78291656728834,2020,"NE"
"80","283-NW",77.0266658782959,57.6486667633057,10.0568889458974,2020,"NW"
"81","283-SW",82.8700003623962,61.0754170417786,10.3608331978321,2020,"SW"
"82","321-NW",67.2052071094513,76.2368738651276,13.0458332896233,2018,"NW"
"83","321-SW",68.9214570522308,72.6145832538605,11.4131250083447,2018,"SW"
"84","323-SW",6.92708331346512,65.3570835590363,7.46312501654029,2016,"SW"
"85","33-NE",37.4735174179077,98.5740725199382,6.26351854536268,2015,"NE"
"86","346-NE",73.3612492084503,62.6212501525879,8.82270842790604,2017,"NE"
"87","346-SE",66.3391652107239,72.5462486743927,10.4729168713093,2017,"SE"
"88","35-NW",17.864791110158,24.0881246328354,0.855000026524067,2017,"NW"
"89","358-NE",29.5549993813038,50.074791431427,3.50749995652586,2015,"NE"
"90","36-NE",6.84666646929348,29.2109798263101,0.625686287879944,2017,"NE"
"91","376-SE",96.2084447224935,57.9953341166178,8.75199995040894,2017,"SE"
"92","378-SE",35.0660416185856,65.040417432785,16.9858333617449,2017,"SE"
"93","415-SE",19.7491107702255,61.8920000712077,22.5337774912516,2017,"SE"
"94","415-SW",9.54392157407368,66.489216299618,14.8845099421108,2017,"SW"
"95","416-SE",86.6729164123535,55.4889583587646,6.86729171872139,2017,"SE"
"96","416-SW",86.8733334541321,51.072083234787,5.83916665613651,2017,"SW"
"97","433-SW",49.9524994194508,59.1672916412354,20.6966668069363,2018,"SW"
"98","473-SE",21.9615683064741,84.6113739013672,12.0762746754815,2015,"SE"
"99","520-SE",29.109582722187,98.7589588165283,14.1058333218098,2019,"SE"
"100","521-SW",67.1346672058105,75.4486666361491,10.981777826945,2019,"SW"
"101","527-NW",71.3259998321533,67.1517779032389,11.0019998550415,2019,"NW"
"102","530-NW",2.29041668772697,72.2106249332428,21.0533336400986,2016,"NW"
"103","530-SE",20.9002083260566,61.5935411453247,17.217291623354,2016,"SE"
"104","534-SW",78.6154899597168,64.4858831517837,9.96745101143332,2018,"SW"
"105","536-NE",40.4312501177192,47.0254168510437,13.6362498477101,2018,"NE"
"106","557-SW",49.6137493252754,78.2487494945526,15.1983335316181,2019,"SW"
"107","584-SW",71.3697924613953,76.0918769836426,12.2145833969116,2016,"SW"
"108","586-NE",88.7462967766656,56.7405552334256,9.09166653951009,2016,"NE"
"109","587-SW",71.3988243551815,69.9631356632008,10.0990196957308,2017,"SW"
"110","588-NW",72.9862232844035,78.1899993896484,10.5566666285197,2017,"NW"
"111","593-NE",27.0729415276471,71.5931383020738,16.2741176380831,2016,"NE"
"112","600-SW",56.351961039445,64.3698037091423,11.3329411113963,2015,"SW"
"113","602-SW",12.1520001014074,37.5200004895528,14.9637776613235,2017,"SW"
"114","605-SW",1.25705881679759,68.1825500937069,13.6527452048133,2018,"SW"
"115","622-NE",83.6453332265218,62.2619997660319,8.90222228368123,2018,"NE"
"116","623-NE",49.3368748128414,63.8458331227303,8.04250000417233,2018,"NE"
"117","629-NW",4.86687485361472,61.1316664218903,16.7797915786505,2019,"NW"
"118","632-NW",53.5060407519341,79.9091672897339,8.52145828306675,2015,"NW"
"119","653-NE",50.7506668726603,80.3519991556803,11.0368889490763,2017,"NE"
"120","668-NW",87.320587606991,60.4674525541418,4.53666658962474,2017,"NW"
"121","686-NE",45.0590623021126,59.9843742847443,8.09958329983056,2019,"NE"
"122","687-NE",66.8254162073135,69.6724996566772,9.22041662037373,2019,"NE"
"123","687-NW",35.1246873140335,81.4310412406921,7.47395827621222,2019,"NW"
"124","718-SE",90.3393330891927,61.7333335876465,12.6322222709656,2019,"SE"
"125","727-NE",35.9009804445155,82.3168640136719,13.3964705747717,2018,"NE"
"126","729-NW",22.9237502999604,61.917708158493,8.57729162275791,2016,"NW"
"127","753-SW",86.875415802002,65.141040802002,12.9495834708214,2017,"SW"
"128","754-NW",81.3989585638046,74.6566669940948,14.6406248211861,2017,"NW"
"129","760-SW",46.4506237357855,79.0191658735275,11.4068750441074,2016,"SW"
"130","761-SE",51.1460426673293,74.4254169464111,7.69312489032745,2016,"SE"
"131","769-SE",63.9642196655273,70.6937789916992,6.40422218640645,2018,"SE"
"132","826-SE",68.6395835876465,75.51291680336,13.6818749904633,2017,"SE"
"133","879-NW",36.6543136764975,86.5647062413833,13.9637255528394,2019,"NW"
"134","880-NE",49.9166674017906,51.4210422039032,11.15916647017,2019,"NE"
"135","898-NW",91.4720374213325,72.4590748680963,10.5159259372287,2019,"NW"
"136","930-SE",50.2831249237061,71.2222909927368,9.98937490582466,2019,"SE"
"138","930-SE",50.2831249237061,71.2222909927368,9.98937490582466,2016,"SE"
"140","931-NE",48.9545101838953,76.486078823314,9.6400001189288,2019,"NE"
"141","945-NE",44.4637496322393,75.0331242084503,7.8864584416151,2019,"NE"
"142","966-SW",8.93666682640711,91.6949994828966,11.0981481605106,2020,"SW"
"143","999-NE",48.5081245303154,83.1158328056335,9.5524999499321,2020,"NE"
"144","999-NW",48.8318752646446,85.8010416030884,8.75020831823349,2020,"NW"
